u,g,r,i,z,specClass,redshift,redshift_err
19.08506,17.34673,16.42727,15.98054,15.65464,GALAXY,0.1180549,2.114044e-05
18.45496,17.02633,16.3022,15.89784,15.6021,GALAXY,0.0834318,9.011256e-06
18.78114,16.81459,15.80151,15.28278,14.91957,GALAXY,0.07801124,2.01015e-05
19.38301,18.24787,17.82537,17.50701,17.34067,GALAXY,0.04873098,5.322816e-06
18.98839,17.59704,16.92949,16.52846,16.24334,GALAXY,0.04649567,6.279189e-06
19.46223,17.34067,16.38596,15.94535,15.61335,GALAXY,0.08659792,1.025828e-05
19.28742,18.89947,18.45206,18.08165,18.05923,QSO,1.472175,0.0003551492
18.14745,16.44628,15.56249,15.14579,14.83957,GALAXY,0.05506027,1.392488e-05
18.33991,17.08824,16.46666,16.04924,15.81576,GALAXY,0.08632554,6.519274e-06
18.763,17.04944,16.20297,15.75899,15.47009,GALAXY,0.05331642,1.146108e-05
19.22083,17.39991,16.56046,16.15241,15.84947,GALAXY,0.04766601,1.10817e-05
18.95534,19.22398,19.64536,19.98695,20.48435,QSO,5.297763,0.0006876121
19.57363,17.78085,16.77598,16.23286,15.82353,GALAXY,0.08779865,1.0547e-05
19.49193,19.11516,18.78723,18.47885,18.4705,QSO,1.667766,0.0004723262
19.54707,18.4164,17.72314,17.29734,17.06098,GALAXY,0.1557584,7.9164e-06
16.71885,15.18131,14.45547,14.03502,13.69376,GALAXY,0.03341444,7.41018e-06
18.95822,17.54161,16.95516,16.62146,16.39024,GALAXY,0.04303501,1.299197e-05
18.742,19.73865,19.29126,17.7992,19.10528,GALAXY,0.2426489,3.037904e-05
19.53574,18.29305,17.7735,17.40596,17.22689,GALAXY,0.09177072,7.298868e-06
18.86748,17.77333,17.29089,16.9616,16.79609,GALAXY,0.04194499,4.964922e-06
19.51914,18.35248,17.83754,17.54294,17.34665,GALAXY,0.05574461,1.42204e-05
19.54584,18.00677,17.31647,16.92323,16.67395,GALAXY,0.05829163,1.264301e-05
18.97492,16.95178,16.00843,15.54185,15.18614,GALAXY,0.05838221,1.72515e-05
16.92428,16.01475,15.68258,15.48025,15.34167,GALAXY,0.02595065,6.240984e-06
19.16867,17.20766,16.15022,15.69767,15.35076,GALAXY,0.1393024,2.247311e-05
19.45645,18.03139,17.33611,16.92355,16.63523,GALAXY,0.06634653,1.685693e-05
18.95902,17.25379,16.47872,16.06478,15.74203,GALAXY,0.05714548,1.685003e-05
19.21422,17.39206,16.47285,16.07889,15.72788,GALAXY,0.1089811,2.01768e-05
17.89639,16.18048,15.31282,14.84284,14.47475,GALAXY,0.03819735,1.410998e-05
19.04841,17.33244,16.53519,16.1405,15.84653,GALAXY,0.03582728,1.888187e-05
18.58324,16.82377,15.97007,15.53607,15.20817,GALAXY,0.05069759,1.519652e-05
19.10497,18.49553,18.20946,18.1439,17.87229,QSO,2.203099,0.0003084483
19.32809,19.13656,19.06194,18.97091,18.7274,QSO,2.062937,0.0005797202
19.52245,18.44329,17.59004,17.19015,16.90265,GALAXY,0.1811224,1.835582e-05
18.59113,17.23568,16.62724,16.28522,16.07533,GALAXY,0.03707318,1.711167e-05
18.75272,16.82734,15.87301,15.43964,15.10313,GALAXY,0.08156303,1.70337e-05
19.57095,19.21136,19.13713,19.11446,19.00448,QSO,0.7639238,0.0002070475
18.81099,17.36544,16.67646,16.29312,16.01814,GALAXY,0.06382973,1.429121e-05
18.73909,18.42215,18.54457,18.45958,18.23106,QSO,0.4373674,4.165295e-05
18.63588,17.35541,16.78624,16.44528,16.21012,GALAXY,0.04692465,1.411803e-05
19.24849,19.07765,18.90156,18.72627,18.18925,GALAXY,0.0,0.0
19.00736,17.9393,16.98793,16.90313,15.98759,GALAXY,0.02736574,1.078426e-05
19.35302,17.76195,17.08942,16.76293,16.53511,GALAXY,0.05745219,2.465192e-05
18.43164,16.48378,15.59154,15.16151,14.86715,GALAXY,0.06694769,1.916231e-05
18.95148,17.71089,17.22955,16.87017,16.70086,GALAXY,0.07583116,6.539103e-06
19.55964,18.2468,17.27707,16.82308,16.47761,GALAXY,0.1531515,1.970828e-05
19.26827,18.09418,17.33621,16.97046,16.6521,GALAXY,0.09481023,1.512407e-05
19.24353,17.84393,17.24568,16.85859,16.69397,GALAXY,0.09975091,1.262086e-05
18.01871,16.77999,16.29061,15.98094,15.77992,GALAXY,0.04547896,1.219793e-05
19.30396,17.90978,17.3391,16.97143,16.8371,GALAXY,0.0246454,8.265271e-06
19.32636,19.13639,18.93964,18.80476,18.6837,QSO,2.023042,0.0005605388
19.24717,17.79818,16.82333,16.33008,15.9407,GALAXY,0.147596,2.243903e-05
19.14842,18.84053,18.56018,18.45422,18.45607,QSO,1.378284,0.000475415
19.37019,17.75144,17.06686,16.66801,16.49002,QSO,0.06470101,3.160461e-05
19.55041,17.72779,16.72578,16.25814,15.86663,GALAXY,0.1390911,2.421563e-05
19.28059,17.91754,17.22015,16.8175,16.5789,GALAXY,0.0770065,1.071328e-05
19.35762,18.25103,17.8812,17.58978,17.58644,GALAXY,0.08784895,6.676027e-06
19.267,18.9625,18.83329,18.91569,18.79809,QSO,0.8778342,0.0001624159
18.84735,17.69231,17.26816,17.0228,16.7766,GALAXY,0.07746752,6.687732e-06
19.24407,17.30319,16.36189,15.93166,15.57548,GALAXY,0.087824,1.419557e-05
19.54946,19.50974,19.52866,19.40759,19.26163,QSO,2.000922,0.000551089
18.21777,18.01722,17.81103,17.79453,17.79311,QSO,1.199205,0.0001736362
19.34173,18.21549,17.79112,17.47745,17.50583,GALAXY,0.05125694,8.279482e-06
17.93184,16.11885,15.3324,14.9226,14.60357,GALAXY,0.03453404,9.134677e-06
18.95461,17.96118,17.48179,17.07031,16.91241,GALAXY,0.103608,6.407368e-06
19.57885,18.12923,17.48171,17.11485,16.90584,GALAXY,0.03106396,1.305184e-05
18.81978,16.82184,15.84623,15.39829,15.03027,GALAXY,0.07797148,1.508929e-05
17.88556,16.02243,15.20831,14.8282,14.51811,GALAXY,0.04092687,9.46651e-06
19.279,17.58545,16.77056,16.37046,16.10792,GALAXY,0.07191794,1.367949e-05
17.8937,16.71595,16.20637,15.98102,15.86847,GALAXY,0.0,0.0
19.32645,17.52655,16.71661,16.23742,15.8792,GALAXY,0.05500096,2.934695e-05
19.43991,17.50412,16.39149,15.94376,15.56794,GALAXY,0.1327697,2.048282e-05
19.08882,17.05602,16.15154,15.71095,15.37149,GALAXY,0.05948561,1.649467e-05
18.86338,18.69629,18.53324,18.4925,18.58077,QSO,1.102548,0.0002955714
19.56041,18.11612,17.37036,16.94697,16.68918,GALAXY,0.08657331,1.317789e-05
18.98684,18.01774,17.4976,17.15964,16.92385,GALAXY,0.03783836,8.230871e-06
18.27048,17.14271,16.60523,16.18502,16.0181,GALAXY,0.07137293,8.528286e-06
19.11273,17.42375,16.63742,16.24678,15.92481,GALAXY,0.04118606,2.009172e-05
19.35794,17.55922,16.71354,16.27384,15.96251,GALAXY,0.1398474,2.314204e-05
19.54144,17.92003,17.06608,16.60825,16.25935,GALAXY,0.03984212,9.071759e-06
19.2285,17.23953,16.28407,15.86064,15.49925,GALAXY,0.1052461,1.55851e-05
18.83961,17.32233,16.82356,16.68497,16.29013,GALAXY,0.05466455,8.171953e-06
18.84289,17.1819,16.39283,15.97544,15.6808,GALAXY,0.07002666,1.873389e-05
19.09651,18.70635,18.39602,18.26603,18.23572,QSO,1.3512,0.0003298829
19.37042,19.08102,19.01362,19.06101,18.96531,QSO,0.7698019,0.0003151286
17.62166,17.15074,16.6708,16.16131,16.04373,QSO,0.1027463,3.402768e-05
17.40864,16.29745,15.73045,15.33822,15.14426,GALAXY,0.05236755,6.672613e-06
19.21194,17.85539,17.35864,17.05389,16.91441,GALAXY,0.07335809,9.421274e-06
18.71952,17.44971,16.84476,16.51115,16.25226,GALAXY,0.1043981,1.245129e-05
18.26716,17.25914,16.8627,16.52999,16.39643,GALAXY,0.05122699,6.121886e-06
18.53811,16.49068,15.54758,15.0839,14.73338,GALAXY,0.05618554,1.268052e-05
18.46088,16.76444,16.03699,15.60469,15.32254,GALAXY,0.1061041,2.300612e-05
19.25043,17.53965,16.67676,16.29275,16.01224,GALAXY,0.0870531,1.813709e-05
19.33383,18.23413,17.76752,17.34212,17.23571,GALAXY,0.09566813,6.773277e-06
19.41257,17.58155,16.65991,16.2823,15.93695,GALAXY,0.122468,2.534067e-05
19.21586,18.03407,17.58097,17.28232,17.0478,GALAXY,0.04213708,6.653316e-06
18.92305,17.09479,16.21852,15.78354,15.45603,GALAXY,0.05225062,1.491911e-05
18.31713,17.60485,17.26094,17.04157,16.90912,GALAXY,0.05088157,7.314491e-06
19.50476,17.76242,16.87565,16.42822,16.07041,GALAXY,0.0525768,1.604385e-05
19.45934,18.36603,17.8222,17.46949,17.36227,GALAXY,0.1380342,6.473342e-06
19.46646,18.18205,17.24521,16.76123,16.4281,GALAXY,0.1769726,2.054875e-05
19.51916,18.16635,17.4894,17.09225,16.84226,GALAXY,0.07343689,1.018756e-05
19.11198,17.24939,16.2898,15.81945,15.48681,GALAXY,0.09822238,1.812229e-05
19.46917,17.61527,16.55244,16.10286,15.74471,GALAXY,0.115201,1.890208e-05
19.25951,18.0273,17.3658,16.98639,16.80003,GALAXY,0.1212057,3.041449e-05
18.69275,18.5575,18.47204,18.26935,17.99678,QSO,2.138081,0.0001630655
19.29039,18.11277,17.56647,17.17051,16.99112,GALAXY,0.07450173,6.91882e-06
19.42034,17.40656,16.49572,16.02537,15.64926,GALAXY,0.05708904,1.876584e-05
19.12432,17.86503,17.30661,16.97327,16.76788,GALAXY,0.0576954,9.021768e-06
17.19971,15.88169,15.24873,14.9066,14.64227,GALAXY,0.03445797,1.11755e-05
17.58988,16.76888,16.49574,16.33621,16.21135,GALAXY,0.0297061,6.694141e-06
19.47429,17.86963,16.85908,16.35151,16.0118,GALAXY,0.1505656,2.481591e-05
19.44389,18.11216,17.31224,16.86328,16.70439,GALAXY,0.1328197,8.268554e-06
18.67649,18.57396,18.35435,18.01908,17.8334,QSO,2.021568,0.0002869394
19.3063,18.0204,17.03873,16.60081,16.29301,GALAXY,0.2083517,2.046381e-05
19.31045,18.89603,18.60194,18.6163,18.49526,QSO,1.052367,0.0003701134
18.45053,16.46233,15.52046,15.05316,14.7554,GALAXY,0.08331549,1.950657e-05
19.35926,19.61026,19.61366,19.47737,19.17108,QSO,0.9781212,2.243657
18.90816,17.26035,16.56142,16.19153,15.88944,GALAXY,0.0331635,1.703953e-05
19.05813,17.59806,16.82967,16.35711,16.05524,GALAXY,0.1034615,9.303561e-06
18.98182,16.92052,15.95616,15.51083,15.14654,GALAXY,0.05132692,1.456487e-05
19.21642,17.41082,16.41398,15.96889,15.66724,GALAXY,0.1391319,2.29313e-05
18.92079,17.92049,17.52039,17.21995,17.12113,GALAXY,0.08821685,6.93277e-06
16.95656,16.04836,15.47634,15.11808,14.92651,QSO,0.03787673,9.869471e-06
18.01656,16.55344,15.88098,15.54066,15.24351,GALAXY,0.03829288,1.503009e-05
19.16941,17.19014,16.19964,15.74412,15.41623,GALAXY,0.09546999,1.800862e-05
19.59938,18.08611,17.21636,16.72645,16.34866,GALAXY,0.09339296,1.292161e-05
19.3413,17.5718,16.7611,16.32098,15.9812,GALAXY,0.04677236,1.382996e-05
19.21592,18.86306,18.68117,18.63587,18.49905,QSO,0.7343239,0.0001547234
18.49169,17.05059,16.4022,16.01328,15.75213,GALAXY,0.06191466,1.022569e-05
19.02319,17.66194,17.06716,16.67011,16.45555,GALAXY,0.1300697,1.228621e-05
19.59014,18.37988,17.62519,17.20509,16.95789,GALAXY,0.1494466,1.169603e-05
18.98925,18.88914,18.75388,18.50629,18.58436,QSO,1.688624,0.0002919953
18.00823,16.1217,15.22772,14.8148,14.46589,GALAXY,0.04944801,1.18912e-05
19.00739,18.29098,17.82183,17.60193,17.56481,QSO,1.431376,0.0003394842
17.19872,16.87852,16.889,16.82966,16.75181,QSO,0.4583784,3.61218e-05
17.73047,17.13609,17.09086,17.01621,16.81242,QSO,2.550272,0.0001946518
19.18396,18.23501,17.85904,17.54579,17.46996,GALAXY,0.04636873,5.87914e-06
17.95494,15.91601,14.97441,14.48467,14.077,GALAXY,0.03070467,8.914189e-06
19.36825,18.20811,17.64459,17.29616,17.06059,GALAXY,0.1025088,9.215603e-06
18.86985,17.91304,17.55133,17.18573,17.09064,GALAXY,0.05902028,5.924683e-06
19.00012,17.61692,16.87591,16.46774,16.14637,GALAXY,0.07470589,1.160633e-05
19.57118,17.95683,17.17593,16.67397,16.4052,GALAXY,0.07245733,9.269811e-06
19.21614,18.18493,17.88066,17.62204,17.56587,GALAXY,0.07318241,6.58249e-06
19.21769,19.0554,19.0126,18.85582,18.77644,QSO,1.988709,0.0004785462
19.41339,17.78945,17.12643,16.75159,16.48353,GALAXY,0.04904542,1.587071e-05
19.46223,18.2708,17.61752,17.17998,16.94209,GALAXY,0.1074836,7.269934e-06
19.26981,17.94036,17.45722,17.16018,16.98054,GALAXY,0.0330535,6.991131e-06
18.54426,17.59743,17.20582,16.97159,16.88753,GALAXY,0.04597939,1.122254e-05
19.24269,18.31997,17.94883,17.72292,17.61152,GALAXY,0.03297475,5.508315e-06
17.91489,16.80007,16.39675,16.17745,15.98579,GALAXY,0.02602868,8.537252e-06
17.66029,16.4803,15.93246,15.63565,15.37357,GALAXY,0.03356658,1.31638e-05
19.55198,18.37811,17.90089,17.59261,17.47276,GALAXY,0.05969221,1.075693e-05
18.47517,17.23282,16.71777,16.35386,16.18869,GALAXY,0.08657416,6.79938e-06
19.5205,17.53883,16.55512,16.09464,15.76821,GALAXY,0.08808248,1.923308e-05
19.3447,18.72797,18.73305,18.73713,18.52526,QSO,2.419502,0.0003248406
18.99821,17.3263,16.55029,16.08355,15.71815,GALAXY,0.03403106,1.769739e-05
18.34051,16.52908,15.69631,15.28598,14.95942,GALAXY,0.04712463,1.611191e-05
18.97038,17.84663,17.4734,17.34534,17.2303,GALAXY,0.03508372,6.114287e-06
18.87007,17.63512,17.10938,16.77521,16.51194,GALAXY,0.04003482,5.780297e-06
18.1776,16.8491,16.2924,15.9413,15.69136,GALAXY,0.07562643,1.168422e-05
17.96069,16.80342,16.17588,15.90731,15.69252,GALAXY,0.03550228,1.527222e-05
17.06582,16.53432,16.0456,15.53727,15.35901,QSO,0.07923461,2.921445e-05
19.40663,18.79671,18.45901,18.14777,18.13436,QSO,1.427929,0.0004098314
19.49396,18.19576,17.69507,17.36076,17.11276,GALAXY,0.0875928,1.084538e-05
19.52467,18.37562,17.88112,17.60252,17.43091,GALAXY,0.04120466,3.095864e-05
18.93247,18.77721,18.67849,18.5196,18.54589,QSO,1.822394,0.0004053112
18.88761,18.50531,18.32327,18.22321,18.01343,QSO,0.8606809,0.0001049388
19.51935,17.69783,16.78904,16.36309,16.05911,GALAXY,0.08688845,1.665682e-05
19.03411,17.37884,16.52469,16.06938,15.75989,GALAXY,0.1039603,1.488888e-05
17.19135,16.36656,16.03841,15.80558,15.65652,GALAXY,0.03502389,5.827691e-06
19.2861,18.15957,17.70864,17.39881,17.28521,GALAXY,0.05709944,7.060888e-06
19.18289,16.97381,15.97956,15.53112,15.18819,GALAXY,0.07107463,2.015279e-05
18.74592,17.49258,16.90561,16.55457,16.32411,GALAXY,0.03833986,6.24992e-06
19.17747,17.34855,16.36886,15.91644,15.5345,GALAXY,0.1027508,1.840999e-05
19.3697,17.96966,17.45617,17.11879,17.03144,GALAXY,0.05454225,2.408044e-05
19.43771,18.03478,16.99583,16.47342,16.16283,GALAXY,0.1514917,1.12788e-05
18.69129,18.41712,18.16908,17.99868,17.75566,QSO,2.057574,0.0004169704
19.28672,19.14146,18.93103,18.87475,18.81766,QSO,1.231747,0.0005113552
18.77807,17.66459,17.21681,16.94008,16.79968,GALAXY,0.05041198,7.210602e-06
19.23257,17.3643,16.52481,16.12218,15.81751,GALAXY,0.04552544,1.423546e-05
19.12211,18.17797,17.82643,17.72622,17.52042,GALAXY,0.0227506,5.140977e-06
19.40782,17.93502,17.28441,16.89762,16.61133,GALAXY,0.05937605,9.422913e-06
17.28144,15.47007,14.58506,14.16413,13.85665,GALAXY,0.04034193,8.705448e-06
17.81047,15.87018,14.99964,14.56292,14.20324,GALAXY,0.03629126,1.135242e-05
19.09669,17.32997,16.48347,16.08901,15.76007,GALAXY,0.03977014,1.56454e-05
18.15377,16.33609,15.46933,15.05932,14.75039,GALAXY,0.04555899,1.287645e-05
17.33512,15.44422,14.59005,14.1789,13.8596,GALAXY,0.04068476,1.066066e-05
18.85699,17.28815,16.48459,16.06416,15.74778,GALAXY,0.03882644,1.505161e-05
18.52649,16.53973,15.57291,15.12641,14.79116,GALAXY,0.08270915,1.705802e-05
19.58725,19.26195,19.00695,18.91297,18.68679,QSO,0.8963982,0.0004233631
17.88966,16.77931,16.2596,16.00302,15.75301,GALAXY,0.02978944,7.26186e-06
19.25949,17.25993,16.31405,15.87977,15.51287,GALAXY,0.05545625,1.189465e-05
18.90803,17.27713,16.55942,16.16742,15.88968,GALAXY,0.05621082,7.917731e-06
19.06595,17.80906,17.20676,16.81802,16.58164,GALAXY,0.04885586,7.240568e-06
18.2259,17.06761,16.4308,16.10143,15.85293,GALAXY,0.02563905,8.121771e-06
19.5481,17.44178,16.4497,15.99364,15.63432,GALAXY,0.08148775,2.493682e-05
19.14361,18.08509,17.62001,17.34185,17.18574,GALAXY,0.04220953,1.293737e-05
18.52768,17.667,17.45312,17.28219,17.19852,GALAXY,0.02831782,5.898691e-06
18.47956,16.97498,16.2303,15.80467,15.51637,GALAXY,0.07914868,8.792825e-06
18.76395,16.81197,15.8949,15.45513,15.11819,GALAXY,0.0550063,1.045411e-05
18.53311,17.31434,16.76117,16.39557,16.21235,GALAXY,0.08994975,8.171223e-06
19.5016,18.04066,17.3754,16.98697,16.72066,GALAXY,0.06040677,1.190763e-05
19.35342,18.11187,17.45305,17.10616,16.88711,GALAXY,0.07115377,1.914706e-05
19.30495,17.7727,17.06071,16.68599,16.47399,GALAXY,0.09295362,1.463255e-05
19.37864,17.5633,16.67884,16.26422,15.95073,GALAXY,0.05193516,2.10121e-05
18.06496,16.59964,15.90193,15.5283,15.25731,GALAXY,0.05106149,8.6302e-06
18.40818,17.36128,17.01452,16.76357,16.64212,GALAXY,0.03904542,5.506918e-06
19.42933,18.35976,17.98833,17.69851,17.63542,GALAXY,0.05269495,6.290098e-06
18.234,16.84304,16.16338,15.78729,15.52039,GALAXY,0.08016013,1.561087e-05
18.79717,17.24433,16.32707,15.83261,15.48432,GALAXY,0.1215888,1.161229e-05
18.925,17.022,16.14146,15.714,15.3983,GALAXY,0.04810026,1.019076e-05
19.29193,18.11588,17.49039,17.11111,16.8702,GALAXY,0.07410526,6.938845e-06
19.35331,17.79202,17.05025,16.66172,16.38637,GALAXY,0.09904113,1.893236e-05
19.21238,17.49739,16.48591,16.02175,15.69461,GALAXY,0.1296851,2.402076e-05
18.15669,16.84515,16.28504,15.97693,15.74143,GALAXY,0.03335614,1.506751e-05
18.526,17.44487,16.96433,16.62568,16.44913,GALAXY,0.1073694,7.459494e-06
18.6836,18.40556,18.2253,17.97163,17.99501,QSO,1.534923,0.0002332046
17.69997,15.83359,14.98443,14.54593,14.22544,GALAXY,0.03470276,1.011389e-05
18.1925,16.98367,16.36569,16.04128,15.82706,GALAXY,0.05128392,7.841839e-06
19.37828,19.1722,19.04738,18.85143,18.74173,QSO,1.6094,0.0002691755
18.40624,16.42775,15.50479,15.04324,14.70349,GALAXY,0.04627064,1.172932e-05
19.50368,17.54683,16.58865,16.14007,15.78278,GALAXY,0.0578707,1.595744e-05
19.49118,19.0728,18.79968,18.83242,18.70527,QSO,0.9018047,0.0003868296
19.52964,18.108,17.4372,17.06647,16.81409,GALAXY,0.07979408,1.96847e-05
18.37519,16.2956,15.33285,14.85617,14.49351,GALAXY,0.02783617,1.17979e-05
18.91854,16.98581,16.09498,15.68296,15.34031,GALAXY,0.04173398,1.269578e-05
18.65626,17.07192,16.31201,15.89776,15.62765,GALAXY,0.1039024,1.758279e-05
17.53818,16.16685,15.49487,15.12727,14.84859,GALAXY,0.03157856,1.631705e-05
19.56912,18.63324,18.01374,17.64938,17.4825,GALAXY,0.1649216,7.048222e-06
18.97193,17.11961,16.2453,15.80748,15.46236,GALAXY,0.0517373,1.499105e-05
18.38602,17.11376,16.53818,16.17383,15.93011,GALAXY,0.05263236,1.05168e-05
18.53451,17.19451,16.60724,16.23436,16.04564,GALAXY,0.08452586,7.535453e-06
19.45797,17.5929,16.65127,16.19366,15.83309,GALAXY,0.1061492,2.140539e-05
19.56568,17.70476,16.73921,16.29201,15.95102,GALAXY,0.08877276,1.951358e-05
19.23061,17.82053,17.51696,17.02262,16.80525,GALAXY,0.05860034,7.439402e-06
19.18749,18.95049,18.55008,18.42522,17.93034,QSO,0.3193617,6.261011e-05
19.30797,18.15971,17.65106,17.31239,17.15355,GALAXY,0.05634584,7.421344e-06
19.13185,17.84735,17.32708,16.97145,16.7744,GALAXY,0.03540023,1.633665e-05
19.33588,17.95374,17.17017,16.6259,16.32141,GALAXY,0.09583623,2.335661e-05
18.14495,16.18867,15.26038,14.83037,14.48517,GALAXY,0.03368655,1.017294e-05
19.04734,17.90622,17.63467,17.4522,17.33505,GALAXY,0.03584136,6.304355e-06
18.94055,17.69168,17.08033,16.76602,16.49542,GALAXY,0.03388947,8.4796e-06
19.58482,17.89099,16.79797,16.26786,15.90972,GALAXY,0.1297939,2.644718e-05
18.00413,17.17119,16.92292,16.76204,16.62784,GALAXY,0.03436371,5.621862e-06
19.25544,17.98547,17.39448,16.92214,16.71914,GALAXY,0.1308752,7.338452e-06
19.55145,17.54857,16.53819,16.07857,15.70743,GALAXY,0.09593169,2.206799e-05
19.56003,18.34452,17.96101,17.72206,17.63145,GALAXY,0.01839373,1.007952e-05
19.32653,17.42761,16.44627,15.95776,15.56676,GALAXY,0.1177346,2.897163e-05
18.58019,17.11066,16.39733,15.98102,15.65516,GALAXY,0.05715136,1.089798e-05
18.88993,17.51777,16.98604,16.66719,16.5047,GALAXY,0.09631278,1.135746e-05
17.77555,16.51738,15.93789,15.56118,15.31273,GALAXY,0.06918319,1.310935e-05
17.92566,15.98155,15.00914,14.54607,14.15087,GALAXY,0.06502189,1.582034e-05
18.73053,17.62657,17.09279,16.73034,16.51734,GALAXY,0.05555867,6.683707e-06
18.63759,17.47747,17.04221,16.80315,16.66444,GALAXY,0.04399605,1.371269e-05
19.57927,17.58083,16.58611,16.1673,15.80091,GALAXY,0.107622,2.050902e-05
18.44937,16.74819,15.8813,15.40823,15.07936,GALAXY,0.05633032,1.17501e-05
18.79778,17.00077,16.16709,15.76167,15.43,GALAXY,0.0352742,1.243193e-05
18.0485,16.64427,16.05427,15.71007,15.48807,GALAXY,0.0464292,1.28858e-05
19.57157,18.18289,17.56654,17.21815,17.07169,GALAXY,0.09799738,1.908552e-05
18.27541,16.22712,15.21876,14.72468,14.3391,GALAXY,0.05566975,1.483925e-05
19.58546,17.64386,16.62395,16.18317,15.82171,GALAXY,0.1045776,2.65599e-05
18.51991,16.63556,15.67822,15.21052,14.86788,GALAXY,0.04009232,1.310938e-05
19.37471,17.31856,16.24957,15.78771,15.42402,GALAXY,0.1208698,2.783251e-05
19.54525,19.37411,19.00898,18.95889,19.12432,QSO,1.24921,0.0005581141
19.4159,18.13977,17.36889,16.826,16.51881,GALAXY,0.106013,8.443457e-06
19.05544,17.84481,17.50932,17.2054,17.10479,GALAXY,0.06933127,6.766569e-06
19.0284,18.84958,18.64458,18.69384,18.67296,QSO,1.003945,0.0003688926
18.38942,17.18954,16.56318,16.24191,15.99282,GALAXY,0.02135303,8.718182e-06
17.61166,16.70678,16.3119,16.08044,15.92755,GALAXY,0.006428085,7.366032e-06
18.89864,17.90253,17.30357,16.86178,16.66665,GALAXY,0.07828388,6.19501e-06
18.83266,17.66196,17.15409,16.80807,16.59873,GALAXY,0.09321696,1.001138e-05
19.25155,18.88568,18.89393,18.73955,18.75771,QSO,0.6705613,0.0001638057
19.0092,18.97013,18.76965,18.75073,18.84368,QSO,1.148382,0.0004080527
17.60658,16.13513,15.51606,15.17322,14.96029,GALAXY,0.0286401,2.15882e-05
18.68569,17.08934,16.26716,15.88442,15.60966,GALAXY,0.0398476,1.758888e-05
19.32313,17.90759,17.26257,16.90117,16.66976,GALAXY,0.1259902,1.062587e-05
19.06028,16.96053,15.95126,15.47845,15.11543,GALAXY,0.04997836,1.872095e-05
19.09405,17.42258,16.58887,16.22164,15.91174,GALAXY,0.0387472,1.90905e-05
19.59729,18.4075,17.74442,17.41554,17.18503,GALAXY,0.1270137,1.5095e-05
19.57556,18.23365,17.34847,16.92931,16.65516,GALAXY,0.1994577,1.518282e-05
18.71144,16.77021,15.85943,15.42362,15.04608,GALAXY,0.03298539,1.446412e-05
19.05704,18.31118,17.69005,17.26099,17.03378,GALAXY,0.1439094,1.084294e-05
19.48482,17.4633,16.49347,16.05863,15.69246,GALAXY,0.08297064,1.822179e-05
18.94266,18.8809,18.70568,18.71223,18.78469,QSO,1.102227,0.0003579383
19.48315,19.16539,19.02616,18.77698,18.73289,QSO,1.571954,0.0003615082
18.92159,18.87687,18.66471,18.74303,18.67495,QSO,1.018931,0.0003668133
19.11031,17.74015,17.28806,16.96615,16.78523,GALAXY,0.05923243,9.9578e-06
17.43536,17.05262,16.91076,16.73285,16.68779,QSO,1.596099,0.0001739345
18.85781,16.49476,15.48454,15.00845,14.65595,GALAXY,0.04607235,2.099249e-05
18.52983,17.08985,16.36274,15.95819,15.68159,GALAXY,0.07186297,1.390047e-05
18.85916,17.74335,17.35882,17.09494,16.88899,GALAXY,0.05451467,5.803794e-06
18.24492,16.69754,15.72405,15.16652,14.63869,GALAXY,0.03702302,1.309914e-05
18.89087,18.68392,18.52715,18.53228,18.34792,QSO,0.8873211,0.0002402902
19.29687,19.02731,18.72089,18.63932,18.66205,GALAXY,0.2276422,7.746809e-06
19.34026,18.12642,17.52738,17.17946,17.0039,GALAXY,0.09865676,1.129329e-05
18.89901,17.44035,16.76977,16.41015,16.18283,GALAXY,0.03209725,2.360804e-05
19.47736,17.78795,16.895,16.44697,16.13977,GALAXY,0.08814596,2.017336e-05
19.24612,19.03793,18.90368,18.85078,18.28737,QSO,0.3664142,7.744072e-05
19.39585,17.51218,16.59329,16.16328,15.83379,GALAXY,0.0806471,1.987068e-05
19.0572,17.34844,16.48207,16.02532,15.66218,GALAXY,0.09023233,1.320681e-05
19.56426,19.40692,19.35089,19.12321,19.13998,QSO,1.609203,0.0003780154
19.08538,17.50343,16.68149,16.17463,15.87817,GALAXY,0.1377381,1.571915e-05
19.52206,18.14994,17.36004,16.92026,16.60237,GALAXY,0.1243233,1.502297e-05
19.08027,17.44555,16.50281,16.02934,15.67496,GALAXY,0.1000728,2.096892e-05
18.74874,17.47796,16.87907,16.50898,16.27933,GALAXY,0.03578851,1.051812e-05
18.84807,16.80186,15.76711,15.31537,14.93574,GALAXY,0.1047356,1.607059e-05
19.26219,17.47548,16.4758,16.02334,15.64441,GALAXY,0.08541863,1.814301e-05
19.57933,19.30394,19.07522,19.09439,18.87995,QSO,0.8730843,0.0003426548
18.75835,18.57446,18.38512,18.23563,18.22468,QSO,1.425605,0.0002995534
19.2626,18.10727,17.25597,16.80877,16.55288,GALAXY,0.1839762,1.007363e-05
19.05103,17.4955,16.66673,16.16725,15.82637,GALAXY,0.07629656,8.874879e-06
18.66198,16.79975,15.93415,15.53165,15.20971,GALAXY,0.06336066,1.831335e-05
19.23015,17.97522,17.49467,17.12715,16.91683,GALAXY,0.05359001,5.474103e-06
17.36667,15.62319,14.82961,14.41089,14.11464,GALAXY,0.05200968,1.02195e-05
